方案标签,止损_sl,止盈_tp,基准收益合计_pct,成交笔数,收益合计_pct,单笔均值_pct,夏普_笔收益,胜率_pct,波动率_笔收益标准差_pct,最大回撤_链式净值_pct,盈亏比_均盈除以均亏绝对值,盈亏比_总盈利除以总亏损绝对值,笔数_A,笔数_D,笔数_B,笔数_C,占比_A_pct,占比_D_pct,占比_B_pct,占比_C_pct
ATTR|SL=-10.0% TP=6.0%,-0.1,0.06,260.7856,151,343.925,2.2776,0.3196,58.2781,7.126,24.5131,1.5004,2.2006,35,45,27,44,23.1788,29.8013,17.8808,29.1391
ATTR|SL=-9.0% TP=6.0%,-0.09,0.06,260.7856,151,337.1181,2.2326,0.312,58.2781,7.1567,29.698,1.4656,2.1495,37,49,22,43,24.5033,32.4503,14.5695,28.4768
ATTR|SL=-10.0% TP=5.0%,-0.1,0.05,260.7856,151,336.8838,2.231,0.3192,58.9404,6.9899,24.1291,1.467,2.176,40,47,23,41,26.4901,31.1258,15.2318,27.1523
ATTR|SL=-10.0% TP=9.0%,-0.1,0.09,260.7856,151,331.1493,2.193,0.2917,54.9669,7.517,24.1291,1.6462,2.1021,26,38,37,50,17.2185,25.1656,24.5033,33.1126
ATTR|SL=-9.0% TP=5.0%,-0.09,0.05,260.7856,151,330.077,2.1859,0.3113,58.9404,7.0209,29.698,1.4329,2.1255,42,51,18,40,27.8146,33.7748,11.9205,26.4901
ATTR|SL=-10.0% TP=4.0%,-0.1,0.04,260.7856,151,326.6404,2.1632,0.3156,60.9272,6.8552,24.1291,1.3433,2.1681,43,51,19,38,28.4768,33.7748,12.5828,25.1656
ATTR|SL=-10.0% TP=7.0%,-0.1,0.07,260.7856,151,324.4613,2.1488,0.2984,56.2914,7.2004,24.5131,1.5634,2.1093,34,37,33,47,22.5166,24.5033,21.8543,31.1258
ATTR|SL=-9.0% TP=9.0%,-0.09,0.09,260.7856,151,324.3425,2.148,0.2847,54.9669,7.5455,29.698,1.6098,2.0555,28,42,32,49,18.543,27.8146,21.1921,32.4503
ATTR|SL=-9.0% TP=4.0%,-0.09,0.04,260.7856,151,319.8335,2.1181,0.3076,60.9272,6.8863,29.698,1.3114,2.1166,45,55,14,37,29.8013,36.4238,9.2715,24.5033
ATTR|SL=-9.0% TP=7.0%,-0.09,0.07,260.7856,151,317.6544,2.1037,0.291,56.2914,7.23,29.698,1.5278,2.0614,36,41,28,46,23.8411,27.1523,18.543,30.4636
ATTR|SL=-10.0% TP=8.0%,-0.1,0.08,260.7856,151,315.1542,2.0871,0.2848,55.6291,7.3289,24.1291,1.5704,2.0611,31,34,36,50,20.5298,22.5166,23.8411,33.1126
ATTR|SL=-10.0% TP=3.0%,-0.1,0.03,260.7856,151,314.2184,2.0809,0.3081,62.9139,6.7542,24.1291,1.2358,2.1345,50,52,18,31,33.1126,34.4371,11.9205,20.5298
ATTR|SL=-10.0% TP=10.0%,-0.1,0.1,260.7856,151,313.5473,2.0765,0.2752,54.3046,7.5466,28.3732,1.6401,2.0377,22,36,39,54,14.5695,23.8411,25.8278,35.7616
ATTR|SL=-9.0% TP=8.0%,-0.09,0.08,260.7856,151,308.3473,2.042,0.2775,55.6291,7.3575,29.698,1.5352,2.0149,33,38,31,49,21.8543,25.1656,20.5298,32.4503
ATTR|SL=-9.0% TP=3.0%,-0.09,0.03,260.7856,151,307.4116,2.0358,0.3,62.9139,6.7852,29.698,1.2061,2.0833,52,56,13,30,34.4371,37.0861,8.6093,19.8675
ATTR|SL=-9.0% TP=10.0%,-0.09,0.1,260.7856,151,306.7405,2.0314,0.2682,54.3046,7.5744,29.698,1.6039,1.9928,24,40,34,53,15.894,26.4901,22.5166,35.0993
ATTR|SL=-8.0% TP=6.0%,-0.08,0.06,260.7856,151,302.5961,2.0039,0.2794,56.9536,7.1716,29.698,1.4264,1.9785,40,54,20,37,26.4901,35.7616,13.245,24.5033
ATTR|SL=-8.0% TP=5.0%,-0.08,0.05,260.7856,151,297.6168,1.971,0.2797,57.6159,7.0478,29.698,1.3985,1.9624,45,56,16,34,29.8013,37.0861,10.596,22.5166
ATTR|SL=-8.0% TP=9.0%,-0.08,0.09,260.7856,151,296.4054,1.9629,0.2598,54.3046,7.5542,29.698,1.5439,1.9181,31,48,29,43,20.5298,31.7881,19.2053,28.4768
ATTR|SL=-8.0% TP=7.0%,-0.08,0.07,260.7856,151,291.7792,1.9323,0.2663,55.6291,7.2557,29.698,1.468,1.9267,39,47,25,40,25.8278,31.1258,16.5563,26.4901
ATTR|SL=-8.0% TP=4.0%,-0.08,0.04,260.7856,151,289.4352,1.9168,0.2769,59.6026,6.9232,29.698,1.283,1.9571,48,60,12,31,31.7881,39.7351,7.947,20.5298
ATTR|SL=-10.0% TP=2.0%,-0.1,0.02,260.7856,151,281.7998,1.8662,0.2813,63.5762,6.6351,28.9736,1.1449,2.0353,59,46,17,29,39.0728,30.4636,11.2583,19.2053
ATTR|SL=-8.0% TP=8.0%,-0.08,0.08,260.7856,151,281.4412,1.8638,0.2528,54.9669,7.373,29.698,1.4732,1.8812,36,44,28,43,23.8411,29.1391,18.543,28.4768
ATTR|SL=-10.0% TP=1.0%,-0.1,0.01,260.7856,151,280.4991,1.8576,0.2845,69.5364,6.5298,28.7249,0.9242,2.1096,68,48,12,23,45.0331,31.7881,7.947,15.2318
ATTR|SL=-8.0% TP=3.0%,-0.08,0.03,260.7856,151,279.0751,1.8482,0.2706,61.5894,6.83,29.698,1.1836,1.9311,55,61,11,24,36.4238,40.3974,7.2848,15.894
ATTR|SL=-8.0% TP=10.0%,-0.08,0.1,260.7856,151,277.7724,1.8396,0.243,53.6424,7.5701,29.698,1.5351,1.8559,27,46,31,47,17.8808,30.4636,20.5298,31.1258
ATTR|SL=-10.0% TP=0.0%,-0.1,0.0,260.7856,151,266.3666,1.764,0.2735,56.9536,6.4493,28.1904,1.0208,2.1413,77,46,9,19,50.9934,30.4636,5.9603,12.5828
